Food Item,Primary Category,Macros per 100g (C / P / F),Valid Preparation,Athletic Benefit
Raw Amaranth Grain,Slow Carbohydrate / Protein,"59.2g Carbs, 14.7g Pro, 5.6g Fat",Raw,High-density baseline grain for long-term glycogen storage.
Stewed Amaranth Grain,Slow Carbohydrate / Micronutrient,"19.9g Carbs, 4.9g Pro, 1.9g Fat",Stewed,Easily digestible sustained energy for endurance events; high in iron.
Raw Amaranth Flour,Slow Carbohydrate,"59.6g Carbs, 13.8g Pro, 6.3g Fat",Raw,"Base ingredient for creating high-energy, pre-workout athletic meals."
Baked Savoury Biscuit,Fat / Carbohydrate,"58.9g Carbs, 6.6g Pro, 24.9g Fat",Baked,"High caloric density for mass building, though high fat slows immediate digestion."
Baked Sweet Biscuit,Fast Carbohydrate / Fat,"69.3g Carbs, 6.1g Pro, 17.2g Fat",Baked,Quick energy spike for immediate caloric needs.
Baked Brown Bread,Slow Carbohydrate,"46.9g Carbs, 8.0g Pro, 1.5g Fat",Baked,Moderate-GI carbohydrate for pre-workout fueling 2-3 hours before exercise.
Baked Sweet Bread,Fast Carbohydrate,"50.6g Carbs, 8.3g Pro, 14.4g Fat",Baked,"Rapid post-workout glycogen replenishment, mixed with fats for sustained fullness."
Baked White Bread,Fast Carbohydrate,"48.8g Carbs, 7.7g Pro, 1.9g Fat",Baked,High-GI carbohydrate for rapid glycogen spike immediately post-workout.
Ready-to-eat Corn Flakes (Fortified),Fast Carbohydrate,"82.6g Carbs, 7.5g Pro, 0.7g Fat",Ready-to-eat,Extremely fast-absorbing carbs for immediate pre-game energy or rapid recovery.
Raw Maize Flour (Ugali Base),Slow Carbohydrate,"73.0g Carbs, 9.0g Pro, 4.0g Fat",Raw,High-density carbohydrate base for extreme endurance loading.
Boiled Stiff Maize Porridge (Ugali),Slow Carbohydrate,"20.0g Carbs, 2.0g Pro, 0.2g Fat",Boiled,Standard sustained energy release for daily athletic maintenance.
Raw Sorghum Flour,Slow Carbohydrate,"74.0g Carbs, 11.0g Pro, 3.0g Fat",Raw,Gluten-free carb base with high antioxidants to reduce oxidative stress.
Boiled Sorghum Porridge,Slow Carbohydrate,"21.0g Carbs, 2.5g Pro, 0.8g Fat",Boiled,Excellent pre-workout meal 3 hours prior to steady-state cardio.
Raw Millet Flour,Slow Carbohydrate,"72.0g Carbs, 11.0g Pro, 4.0g Fat",Raw,Magnesium-rich carb base to prevent muscle cramping.
Boiled Millet Porridge,Slow Carbohydrate,"23.0g Carbs, 3.5g Pro, 1.0g Fat",Boiled,Smooth digesting pre-game carb load supporting muscle nerve function.
Boiled White Rice,Fast Carbohydrate,"28.0g Carbs, 2.7g Pro, 0.3g Fat",Boiled,Rapid post-workout glycogen replenishment with zero digestive drag.
Boiled Brown Rice,Slow Carbohydrate,"23.0g Carbs, 2.6g Pro, 0.9g Fat",Boiled,High-fiber carb for rest-day sustained energy without insulin spikes.
Stewed Pilau Spiced Rice,Carbohydrate / Fat,"30.0g Carbs, 4.0g Pro, 8.0g Fat",Stewed,Calorie-dense meal for mass building; spices aid in anti-inflammation.
Fried Wheat Flatbread (Chapati),Carbohydrate / Fat,"45.0g Carbs, 7.0g Pro, 12.0g Fat",Fried,High caloric density for hard gainers or extreme caloric deficits.
Deep Fried Fried Dough (Mandazi),Fast Carbohydrate / Fat,"55.0g Carbs, 6.0g Pro, 20.0g Fat",Deep Fried,Emergency calorie load; mostly for extreme mass building phases.
Boiled Cassava Tuber,Slow Carbohydrate,"38.0g Carbs, 1.5g Pro, 0.2g Fat",Boiled,Heavy starch for deep glycogen storage during off-season training.
Fried Cassava Tuber,Carbohydrate / Fat,"35.0g Carbs, 1.0g Pro, 10.0g Fat",Fried,High-calorie recovery for high-exertion athletes struggling to maintain weight.
Boiled Sweet Potato,Fast Carbohydrate,"20.0g Carbs, 1.6g Pro, 0.1g Fat",Boiled,Perfect post-workout carb; high potassium prevents cramping.
Roasted Sweet Potato,Fast Carbohydrate,"24.0g Carbs, 2.0g Pro, 0.2g Fat",Roasted,Concentrated carbs from water loss; excellent 1 hour before heavy lifting.
Boiled Irish Potato,Fast Carbohydrate,"17.0g Carbs, 2.0g Pro, 0.1g Fat",Boiled,Extremely fast-absorbing carb for immediate post-game recovery.
Roasted Irish Potato,Fast Carbohydrate,"21.0g Carbs, 2.5g Pro, 0.1g Fat",Roasted,Denser carbohydrate load for intense training days.
Boiled Yam,Slow Carbohydrate,"28.0g Carbs, 1.5g Pro, 0.2g Fat",Boiled,Complex carbs providing slow-drip energy for marathon runners.
Boiled Taro (Arrowroot),Slow Carbohydrate,"26.0g Carbs, 1.5g Pro, 0.2g Fat",Boiled,High-fiber sustained energy; great for rest day metabolism.
Boiled Plantain,Slow Carbohydrate,"31.0g Carbs, 1.3g Pro, 0.2g Fat",Boiled,Starchy carb source high in Vitamins A and C for immune support.
Fried Plantain,Carbohydrate / Fat,"30.0g Carbs, 1.0g Pro, 12.0g Fat",Fried,Heavy caloric load for high-volume trainers.
Boiled Green Banana,Slow Carbohydrate,"22.0g Carbs, 1.1g Pro, 0.3g Fat",Boiled,"Resistant starch that feeds gut microbiome, reducing systemic inflammation."
Boiled Kidney Beans,Slow Carb / Protein,"22.0g Carbs, 8.6g Pro, 0.5g Fat",Boiled,Dual-purpose sustained energy and baseline muscle repair.
Stewed Kidney Beans,Slow Carb / Protein / Fat,"20.0g Carbs, 8.0g Pro, 5.0g Fat",Stewed,Calorie-dense recovery meal when cooked in oils.
Boiled Pinto Beans,Slow Carb / Protein,"21.0g Carbs, 9.0g Pro, 1.2g Fat",Boiled,High-iron bean variant for oxygen delivery in endurance sports.
Boiled Black Beans,Slow Carb / Protein,"23.0g Carbs, 8.8g Pro, 0.5g Fat",Boiled,Antioxidant-rich legume to fight free radicals post-workout.
Boiled Green Peas,Slow Carb / Protein,"14.0g Carbs, 5.0g Pro, 0.4g Fat",Boiled,"Light, easily digestible plant protein for active recovery days."
Boiled Pigeon Peas,Slow Carb / Protein,"22.0g Carbs, 7.0g Pro, 0.4g Fat",Boiled,Solid source of amino acids for baseline muscle maintenance.
Boiled Cowpeas,Slow Carb / Protein,"21.0g Carbs, 8.0g Pro, 0.5g Fat",Boiled,Folate-rich carb source aiding in cellular repair.
Boiled Lentils,Slow Carb / Protein,"20.0g Carbs, 9.0g Pro, 0.4g Fat",Boiled,Fast-cooking plant protein; high iron prevents athletic anemia.
Stewed Lentils,Slow Carb / Protein / Fat,"18.0g Carbs, 8.5g Pro, 6.0g Fat",Stewed,Nutrient-dense post-game meal when paired with a fast carb.
Boiled Soybeans,Protein / Fat,"9.0g Carbs, 16.0g Pro, 9.0g Fat",Boiled,Complete plant protein containing all 9 essential amino acids for hypertrophy.
Boiled Chickpeas,Slow Carb / Protein,"27.0g Carbs, 8.8g Pro, 2.6g Fat",Boiled,"Dense, slow-digesting energy for prolonged athletic events."
Boiled Beef,Lean Protein,"0.0g Carbs, 26.0g Pro, 15.0g Fat",Boiled,Pure muscle synthesis; rich in natural creatine for explosive power.
Roasted Beef (Nyama Choma),Lean Protein / Fat,"0.0g Carbs, 28.0g Pro, 14.0g Fat",Roasted,Denser protein yield per 100g due to water loss; ideal hypertrophy fuel.
Stewed Beef,Protein / Fat,"0.0g Carbs, 25.0g Pro, 18.0g Fat",Stewed,High-calorie protein source for mass gain phases.
Boiled Goat Meat,Lean Protein,"0.0g Carbs, 27.0g Pro, 3.0g Fat",Boiled,"Extremely lean, high-quality protein for strict cutting phases."
